Country, Product ,Units Sold, Revenue per cookie , Cost per cookie , Revenue , Cost , Profit ,Date,Month Number, Month Name ,Year
Canada, Chocolate Chip ,292, $5.00 , $2.00 ," $1,460.00 ", $584.00 , $876.00 ,01-02-2019,2, February ,2019
Mexico, Chocolate Chip ,974, $5.00 , $2.00 ," $4,870.00 "," $1,948.00 "," $2,922.00 ",01-02-2019,2, February ,2019
Canada, Chocolate Chip ,2518, $5.00 , $2.00 ," $12,590.00 "," $5,036.00 "," $7,554.00 ",01-06-2019,6, June ,2019
Germany, Chocolate Chip ,1006, $5.00 , $2.00 ," $5,030.00 "," $2,012.00 "," $3,018.00 ",01-06-2019,6, June ,2019
Germany, Chocolate Chip ,367, $5.00 , $2.00 ," $1,835.00 ", $734.00 ," $1,101.00 ",01-07-2019,7, July ,2019
Mexico, Chocolate Chip ,883, $5.00 , $2.00 ," $4,415.00 "," $1,766.00 "," $2,649.00 ",01-08-2019,8, August ,2019
France, Chocolate Chip ,549, $5.00 , $2.00 ," $2,745.00 "," $1,098.00 "," $1,647.00 ",01-09-2018,9, September ,2018
Mexico, Chocolate Chip ,788, $5.00 , $2.00 ," $3,940.00 "," $1,576.00 "," $2,364.00 ",01-09-2018,9, September ,2018
Mexico, Chocolate Chip ,2472, $5.00 , $2.00 ," $12,360.00 "," $4,944.00 "," $7,416.00 ",01-09-2019,9, September ,2019
United States, Chocolate Chip ,1143, $5.00 , $2.00 ," $5,715.00 "," $2,286.00 "," $3,429.00 ",01-10-2019,10, October ,2019
Canada, Chocolate Chip ,1725, $5.00 , $2.00 ," $8,625.00 "," $3,450.00 "," $5,175.00 ",01-11-2018,11, November ,2018
United States, Chocolate Chip ,912, $5.00 , $2.00 ," $4,560.00 "," $1,824.00 "," $2,736.00 ",01-11-2018,11, November ,2018
Canada, Chocolate Chip ,2152, $5.00 , $2.00 ," $10,760.00 "," $4,304.00 "," $6,456.00 ",01-12-2018,12, December ,2018
Canada, Chocolate Chip ,1817, $5.00 , $2.00 ," $9,085.00 "," $3,634.00 "," $5,451.00 ",01-12-2019,12, December ,2019
Germany, Chocolate Chip ,1513, $5.00 , $2.00 ," $7,565.00 "," $3,026.00 "," $4,539.00 ",01-12-2019,12, December ,2019
France, Chocolate Chip ,3945, $5.00 , $2.00 ," $19,725.00 "," $7,890.00 "," $11,835.00 ",01-01-2019,1, January ,2019
France, Chocolate Chip ,2296, $5.00 , $2.00 ," $11,480.00 "," $4,592.00 "," $6,888.00 ",01-02-2019,2, February ,2019
France, Chocolate Chip ,1030, $5.00 , $2.00 ," $5,150.00 "," $2,060.00 "," $3,090.00 ",01-05-2019,5, May ,2019
United States, Chocolate Chip ,1514, $5.00 , $2.00 ," $7,570.00 "," $3,028.00 "," $4,542.00 ",01-02-2019,2, February ,2019
United States, Chocolate Chip ,4492.5, $5.00 , $2.00 ," $22,462.50 "," $8,985.00 "," $13,477.50 ",01-04-2019,4, April ,2019
United States, Chocolate Chip ,727, $5.00 , $2.00 ," $3,635.00 "," $1,454.00 "," $2,181.00 ",01-06-2019,6, June ,2019
France, Chocolate Chip ,787, $5.00 , $2.00 ," $3,935.00 "," $1,574.00 "," $2,361.00 ",01-06-2019,6, June ,2019
Mexico, Chocolate Chip ,1823, $5.00 , $2.00 ," $9,115.00 "," $3,646.00 "," $5,469.00 ",01-07-2019,7, July ,2019
Germany, Chocolate Chip ,747, $5.00 , $2.00 ," $3,735.00 "," $1,494.00 "," $2,241.00 ",01-09-2019,9, September ,2019
Germany, Chocolate Chip ,766, $5.00 , $2.00 ," $3,830.00 "," $1,532.00 "," $2,298.00 ",01-10-2018,10, October ,2018
United States, Chocolate Chip ,2905, $5.00 , $2.00 ," $14,525.00 "," $5,810.00 "," $8,715.00 ",01-11-2019,11, November ,2019
France, Chocolate Chip ,2155, $5.00 , $2.00 ," $10,775.00 "," $4,310.00 "," $6,465.00 ",01-12-2019,12, December ,2019
Canada, Chocolate Chip ,2363, $5.00 , $2.00 ," $11,815.00 "," $4,726.00 "," $7,089.00 ",01-02-2019,2, February ,2019
France, Chocolate Chip ,918, $5.00 , $2.00 ," $4,590.00 "," $1,836.00 "," $2,754.00 ",01-05-2019,5, May ,2019
Germany, Chocolate Chip ,1728, $5.00 , $2.00 ," $8,640.00 "," $3,456.00 "," $5,184.00 ",01-05-2019,5, May ,2019
United States, Chocolate Chip ,1142, $5.00 , $2.00 ," $5,710.00 "," $2,284.00 "," $3,426.00 ",01-06-2019,6, June ,2019
Mexico, Chocolate Chip ,662, $5.00 , $2.00 ," $3,310.00 "," $1,324.00 "," $1,986.00 ",01-06-2019,6, June ,2019
Canada, Chocolate Chip ,1295, $5.00 , $2.00 ," $6,475.00 "," $2,590.00 "," $3,885.00 ",01-10-2019,10, October ,2019
Germany, Chocolate Chip ,809, $5.00 , $2.00 ," $4,045.00 "," $1,618.00 "," $2,427.00 ",01-10-2018,10, October ,2018
Mexico, Chocolate Chip ,2145, $5.00 , $2.00 ," $10,725.00 "," $4,290.00 "," $6,435.00 ",01-10-2018,10, October ,2018
France, Chocolate Chip ,1785, $5.00 , $2.00 ," $8,925.00 "," $3,570.00 "," $5,355.00 ",01-11-2018,11, November ,2018
Canada, Chocolate Chip ,1916, $5.00 , $2.00 ," $9,580.00 "," $3,832.00 "," $5,748.00 ",01-12-2019,12, December ,2019
Canada, Chocolate Chip ,2852, $5.00 , $2.00 ," $14,260.00 "," $5,704.00 "," $8,556.00 ",01-12-2019,12, December ,2019
Canada, Chocolate Chip ,2729, $5.00 , $2.00 ," $13,645.00 "," $5,458.00 "," $8,187.00 ",01-12-2019,12, December ,2019
United States, Chocolate Chip ,1925, $5.00 , $2.00 ," $9,625.00 "," $3,850.00 "," $5,775.00 ",01-12-2018,12, December ,2018
United States, Chocolate Chip ,2013, $5.00 , $2.00 ," $10,065.00 "," $4,026.00 "," $6,039.00 ",01-12-2018,12, December ,2018
